no , model , rate
7 , Test Accuracy Rate of Test DATA(RF): , 0.9651762849530511
7 , Test Accuracy Rate of Test DATA(DT): , 0.9716301508057632
7 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5563667796200971
7 , Training/Validation Dataset Total Detection Rate(RF): , 0.9959077380952381
7 , Training/Validation Dataset Total Detection Rate(DT): , 0.9836309523809523
7 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9832589285714286
7 , Training/Validation Dataset SSH Precision(RF): , 0.65625
7 , Training/Validation Dataset SSH Precision(DT): , 0.3230769230769231
7 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3181818181818182
7 , Training/Validation Dataset SSH Recall(RF): , 1.0
7 , Training/Validation Dataset SSH Recall(DT): , 1.0
7 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
7 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.004124484439445069
7 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.016497937757780277
7 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.01687289088863892
7 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
7 , Evaluation Test Total Detection Rate(RF): , 0.9957952275833071
7 , Evaluation Test Total Detection Rate(DT): , 0.9893829496478503
7 , Evaluation Test Total Detection Rate(Hybrid): , 0.9893829496478503
7 , Evaluation Test SSH Precision(RF): , 0.3728813559322034
7 , Evaluation Test SSH Precision(DT): , 0.1984126984126984
7 , Evaluation Test SSH Precision(Hybrid): , 0.1984126984126984
7 , Evaluation Test SSH Recall(RF): , 0.88
7 , Evaluation Test SSH Recall(DT): , 1.0
7 , Evaluation Test SSH Recall(Hybrid): , 1.0
7 , Evaluation Test False Positive Rate of total detection(RF): , 0.0038996627318718382
7 , Evaluation Test False Positive Rate of total detection(DT): , 0.010645025295109613
7 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010645025295109613
7 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
8 , Random Forest Model Accuracy Rate (n=100): , 0.9964827145167965
8 , Decision Tree Model Accuracy Rate (depth=4): , 0.9668020915622766
8 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7296392431253056
8 , Test Accuracy Rate of Test DATA(RF): , 0.9469614664976677
8 , Test Accuracy Rate of Test DATA(DT): , 0.9713887236262362
8 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5427239883770058
8 , Training/Validation Dataset Total Detection Rate(RF): , 0.9961948249619482
8 , Training/Validation Dataset Total Detection Rate(DT): , 0.984779299847793
8 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9840182648401826
8 , Training/Validation Dataset SSH Precision(RF): , 0.6875
8 , Training/Validation Dataset SSH Precision(DT): , 0.3548387096774194
8 , Training/Validation Dataset SSH Precision(Hybrid): , 0.34375
8 , Training/Validation Dataset SSH Recall(RF): , 1.0
8 , Training/Validation Dataset SSH Recall(DT): , 1.0
8 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
8 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.003837298541826554
8 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.015349194167306216
8 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.016116653875671526
8 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
8 , Evaluation Test Total Detection Rate(RF): , 0.9950593924103858
8 , Evaluation Test Total Detection Rate(DT): , 0.9887522337853464
8 , Evaluation Test Total Detection Rate(Hybrid): , 0.9885419951645117
8 , Evaluation Test SSH Precision(RF): , 0.3333333333333333
8 , Evaluation Test SSH Precision(DT): , 0.1893939393939394
8 , Evaluation Test SSH Precision(Hybrid): , 0.1865671641791045
8 , Evaluation Test SSH Recall(RF): , 0.88
8 , Evaluation Test SSH Recall(DT): , 1.0
