Destination,Destination Port,Label,ssh,web
206.25.91.190,80,web,,3.0
206.251.17.70,80,web,,1.0
206.251.18.149,80,web,,22.0
206.251.18.156,80,web,,3.0
206.251.18.55,80,web,,183.0
206.251.23.116,80,web,,1.0
206.251.23.118,80,web,,1.0
206.253.217.8,80,web,,9.0
206.253.217.9,80,web,,2.0
206.26.141.20,80,web,,19.0
206.26.141.25,80,web,,2.0
206.29.22.225,80,web,,1.0
206.29.22.81,80,web,,3.0
206.33.210.40,80,web,,13.0
206.39.12.4,80,web,,14.0
206.39.184.2,80,web,,35.0
206.47.73.243,80,web,,3.0
206.64.127.141,80,web,,1.0
206.64.127.143,80,web,,1.0
206.64.127.15,80,web,,10.0
206.64.127.31,80,web,,2.0
206.64.4.109,80,web,,14.0
206.64.4.47,80,web,,74.0
206.65.85.84,80,web,,1.0
206.71.77.2,80,web,,3.0
206.79.17.92,80,web,,38.0
206.79.171.51,80,web,1.0,218.0
206.79.229.16,80,web,1.0,59.0
206.79.229.17,80,web,,35.0
206.79.229.45,80,web,,39.0
206.79.229.47,80,web,,1.0
206.79.229.49,80,web,,2.0
206.83.105.134,80,web,,1.0
206.99.246.5,80,web,,106.0
207.102.137.23,80,web,,29.0
207.121.186.190,80,web,,128.0
207.121.187.251,80,web,1.0,36.0
207.121.190.172,80,web,,20.0
207.121.191.100,80,web,,71.0
207.121.191.59,80,web,,1.0
207.140.138.101,80,web,,24.0
207.141.250.34,80,web,,10.0
207.153.218.70,80,web,,19.0
207.155.125.158,80,web,,6.0
207.159.129.100,80,web,,54.0
207.168.8.10,80,web,1.0,38.0
207.168.8.2,80,web,,2.0
207.168.8.47,80,web,,4.0
207.170.100.29,80,web,,25.0
207.171.193.11,80,web,,26.0
207.174.65.124,80,web,,1.0
207.174.65.169,80,web,,16.0
207.179.1.2,80,web,,70.0
207.18.199.3,80,web,,427.0
207.196.54.29,80,web,,5.0
207.198.157.108,80,web,,9.0
207.200.75.201,80,web,,12.0
207.200.75.206,80,web,,1.0
207.201.74.253,80,web,,3.0
207.211.106.40,80,web,,97.0
207.211.106.90,80,web,1.0,3.0
207.212.114.4,80,web,,77.0
207.217.78.110,80,web,,13.0
207.217.78.131,80,web,,101.0
207.222.254.27,80,web,,12.0
207.226.241.22,80,web,,2.0
207.228.1.140,80,web,,1.0
207.228.215.39,80,web,,36.0
207.230.126.49,80,web,,1.0
207.230.126.50,80,web,,1.0
207.24.160.20,80,web,,10.0
207.24.160.21,80,web,,1.0
207.24.89.130,80,web,,1.0
207.24.89.70,80,web,,9.0
207.240.14.30,80,web,,34.0
207.240.151.154,80,web,1.0,15.0
207.240.151.17,80,web,,21.0
207.240.151.73,80,web,,2.0
207.247.25.192,80,web,,17.0
207.25.146.153,80,web,,1.0
207.25.71.104,80,web,,2.0
207.25.71.124,80,web,,45.0
207.25.71.141,80,web,,1293.0
207.25.71.142,80,web,,435.0
207.25.71.161,80,web,,34.0
207.25.71.163,80,web,,6.0
207.25.71.177,80,web,,56.0
207.25.71.178,80,web,,13.0
207.25.71.180,80,web,,3.0
207.25.71.186,80,web,,10.0
207.25.71.189,80,web,,1.0
207.25.71.200,80,web,,1127.0
207.25.71.30,80,web,,66.0
207.25.71.5,80,web,,118.0
207.25.71.62,80,web,,110.0
207.25.71.63,80,web,,9.0
207.25.71.81,80,web,,1.0
207.25.71.90,80,web,,1.0
207.25.79.43,80,web,,5.0
207.25.79.82,80,web,,12.0
207.25.79.88,80,web,,8.0
207.25.79.92,80,web,,12.0
207.252.5.101,80,web,,4.0
207.37.252.243,80,web,,27.0
207.41.144.251,80,web,,9.0
207.41.46.62,80,web,,3.0
207.46.130.14,80,web,,854.0
207.46.130.149,80,web,,111.0
207.46.130.161,80,web,,1.0
207.46.130.167,80,web,,51.0
207.46.131.142,80,web,,18.0
207.46.131.151,80,web,,37.0
207.46.131.46,80,web,,1.0
207.46.142.14,80,web,,3.0
207.46.142.198,80,web,,1.0
207.46.143.126,80,web,,4.0
207.46.143.251,80,web,,1.0
207.46.150.213,80,web,,23.0
207.46.176.50,80,web,,23.0
207.46.176.74,80,web,,2.0
207.46.179.15,80,web,,73.0
207.46.179.17,80,web,,1.0
207.46.185.11,80,web,,4.0
207.51.123.250,80,web,,52.0
207.51.18.23,80,web,,4.0
207.51.18.40,80,web,,26.0
207.51.48.128,80,web,,1.0
207.51.48.40,80,web,,1.0
207.68.149.20,80,web,,1.0
207.68.149.25,80,web,,4.0
207.68.161.27,80,web,3.0,95.0
207.77.90.171,80,web,,60.0
207.77.90.200,80,web,,13.0
207.77.90.28,80,web,,3.0
207.77.90.36,80,web,,7.0
207.82.198.116,80,web,,14.0
207.82.250.251,80,web,,11.0
207.87.1.51,80,web,,166.0
207.87.12.225,80,web,,2.0
207.87.128.113,80,web,1.0,1.0
207.87.13.143,80,web,,7.0
207.87.15.203,80,web,,1.0
207.87.15.234,80,web,,2.0
207.87.25.82,80,web,,28.0
207.87.4.225,80,web,,1.0
207.88.21.243,80,web,,239.0
207.88.21.245,80,web,,1.0
207.88.23.42,80,web,,52.0
207.90.176.12,80,web,,1.0
207.91.106.60,80,web,,2.0
207.96.122.241,80,web,,1.0
208.10.192.175,80,web,,2.0
208.134.244.139,80,web,,2.0
208.134.246.202,80,web,,4.0
208.137.119.12,80,web,,87.0
208.138.33.187,80,web,,11.0
208.143.212.10,80,web,,5.0
208.146.245.2,80,web,,3.0
208.147.89.140,80,web,,118.0
208.147.89.157,80,web,,86.0
208.147.89.59,80,web,,31.0
208.147.89.86,80,web,,1.0
208.148.76.168,80,web,,189.0
208.148.76.231,80,web,,44.0
